WL,STATE,C/G,G/N,P/G
AGUACLARA,original,0.0,1.068,0.0398
AGUAL02,original,0.0,0.8207,0.6335
ARCHT,original,0.0001,1.1932,0.4353
ASUS,estimacion,ASUS,0.20384422148577414,0.6787415156900793
BALREP,original,0.0,1.0621,0.0297
BASE,estimacion,BASE,-0.2637908443556183,0.5209105507253752
BB,estimacion,BB,0.0568958661855178,0.9099165939417538
CAT01,original,0.0,0.7846,0.193
CAT02,original,0.0,0.8006,0.4708
CHANK,estimacion,CHANK,-0.4055046361238143,0.8443917455220871
CHE,estimacion,CHE,0.1467225427825536,0.5068570208300563
CHP,estimacion,CHP,-0.0984760434746605,0.43465317812737003
CI,estimacion,CI,0.21234836804973478,0.8941004938856294
CTRON01,original,0.0,0.8397,0.5696
CTRON02,original,0.0,0.8368,0.4346
GP,estimacion,GP,0.21702299570761757,0.6631036202810497
HLSJP,estimacion,HLSJP,-0.15181634433469282,0.39032645049624515
HLSM,estimacion,HLSM,-0.6483607687585512,1.0801985620610277
JIM,original,0.0,0.9308,0.8197
LGG,estimacion,LGG,0.44408722073921586,0.9438410437153573
LLITA,original,0.0,1.2539,0.2611
LLMAS,estimacion,LLMAS,-0.034598391421617594,0.27121748265470647
LNG,original,0.0,0.8123,0.0
MAC01,original,0.0,0.8881,0.5302
MAL01,original,0.0,0.8888,0.5141
MAL02,original,0.0,0.8155,0.4336
MASC,original,0.0619,1.175,0.1444
MP,estimacion,MP,0.06232224031014759,0.6095226057374877
NAR,original,0.0,0.7744,0.9678
NLS,estimacion,NLS,-0.3317589701576542,0.9776455412649507
ORE02,original,0.0,0.8092,0.5221
OROSA,original,0.0,0.8788,0.3957
PALESM,original,0.0944,1.0417,0.1222
PATATE,original,0.0,0.8293,0.4071
PAVRVT,original,0.0,0.7513,0.4867
POSTE,original,0.0,1.2589,0.27
QLR,original,0.0,0.8558,0.5345
SAP,estimacion,SAP,1.0408340855860843e-15,-3.1086244689504383e-15
SEXTA,original,0.0,0.8748,0.0446
SJMS,estimacion,SJMS,-0.047496057145822904,0.5356470321216358
SUC,estimacion,SUC,-0.11501598547282156,0.6451405168194262
TC,estimacion,TC,-0.567536597079111,0.7582061861087985
TENA,original,0.2435,1.0033,0.0
TOQCOT,original,0.0,0.7644,0.4199
TOSA,original,0.0,1.1492,0.2887
Tosm,estimacion,Tosm,-0.20452155294852303,0.39837187733880475
ZAP,original,0.0,0.4741,0.5658
