WL,TYPE,STATE,C/G,G/N,P/G
AGUACLARA,3,original,0.0,1.068,0.0398
AGUAL02,1,original,0.0,0.8207,0.6335
ARCHT,1,original,0.0001,1.1932,0.4353
ASUS,0,estimacion,0.058653564095042535,0.5624954492500364,0.3887498892923568
BALREP,1,original,0.0,1.0621,0.0297
BASE,4,estimacion,0.058653564095042535,0.5624954492500364,0.3887498892923568
BB,1,estimacion,0.058653564095042535,0.5624954492500364,0.3887498892923568
CAT01,4,original,0.0,0.7846,0.193
CAT02,1,original,0.0,0.8006,0.4708
CHANK,1,estimacion,0.058653564095042535,0.5624954492500364,0.3887498892923568
CHE,3,estimacion,0.058653564095042535,0.5624954492500364,0.3887498892923568
CHP,1,estimacion,0.058653564095042535,0.5624954492500364,0.3887498892923568
CI,4,estimacion,0.058653564095042535,0.5624954492500364,0.3887498892923568
CTRON01,4,original,0.0,0.8397,0.5696
CTRON02,1,original,0.0,0.8368,0.4346
GP,0,estimacion,0.058653564095042535,0.5624954492500364,0.3887498892923568
HLSJP,3,estimacion,0.058653564095042535,0.5624954492500364,0.3887498892923568
HLSM,1,estimacion,0.058653564095042535,0.5624954492500364,0.3887498892923568
JIM,1,original,0.0,0.9308,0.8197
LGG,0,estimacion,0.058653564095042535,0.5624954492500364,0.3887498892923568
LLITA,1,original,0.0,1.2539,0.2611
LLMAS,1,estimacion,0.058653564095042535,0.5624954492500364,0.3887498892923568
LNG,5,original,0.0,0.8123,0.0
MAC01,0,original,0.0,0.8881,0.5302
MAL01,0,original,0.0,0.8888,0.5141
MAL02,1,original,0.0,0.8155,0.4336
MASC,1,original,0.0619,1.175,0.1444
MP,5,estimacion,0.058653564095042535,0.5624954492500364,0.3887498892923568
NAR,1,original,0.0,0.7744,0.9678
NLS,3,estimacion,0.058653564095042535,0.5624954492500364,0.3887498892923568
ORE02,0,original,0.0,0.8092,0.5221
OROSA,5,original,0.0,0.8788,0.3957
PALESM,3,original,0.0944,1.0417,0.1222
PATATE,1,original,0.0,0.8293,0.4071
PAVRVT,5,original,0.0,0.7513,0.4867
POSTE,1,original,0.0,1.2589,0.27
QLR,4,original,0.0,0.8558,0.5345
SAP,2,estimacion,0.058653564095042535,0.5624954492500364,0.3887498892923568
SEXTA,3,original,0.0,0.8748,0.0446
SJMS,4,estimacion,0.058653564095042535,0.5624954492500364,0.3887498892923568
SUC,4,estimacion,0.058653564095042535,0.5624954492500364,0.3887498892923568
TC,4,estimacion,0.058653564095042535,0.5624954492500364,0.3887498892923568
TENA,3,original,0.2435,1.0033,0.0
TOQCOT,1,original,0.0,0.7644,0.4199
TOSA,1,original,0.0,1.1492,0.2887
Tosm,1,estimacion,0.058653564095042535,0.5624954492500364,0.3887498892923568
ZAP,2,original,0.0,0.4741,0.5658
