WL,TYPE,est_C/G,est_G/N,est_P/G
AGUACLARA,3,0.058653564095042535,0.5624954492500364,0.3887498892923568
AGUAL02,1,0.058653564095042535,0.5624954492500364,0.3887498892923568
ARCHT,1,0.058653564095042535,0.5624954492500364,0.3887498892923568
ASUS,0,0.058653564095042535,0.5624954492500364,0.3887498892923568
BALREP,1,0.058653564095042535,0.5624954492500364,0.3887498892923568
BASE,4,0.058653564095042535,0.5624954492500364,0.3887498892923568
BB,1,0.058653564095042535,0.5624954492500364,0.3887498892923568
CAT01,4,0.058653564095042535,0.5624954492500364,0.3887498892923568
CAT02,1,0.058653564095042535,0.5624954492500364,0.3887498892923568
CHANK,1,0.058653564095042535,0.5624954492500364,0.3887498892923568
CHE,3,0.058653564095042535,0.5624954492500364,0.3887498892923568
CHP,1,0.058653564095042535,0.5624954492500364,0.3887498892923568
CI,4,0.058653564095042535,0.5624954492500364,0.3887498892923568
CTRON01,4,0.058653564095042535,0.5624954492500364,0.3887498892923568
CTRON02,1,0.058653564095042535,0.5624954492500364,0.3887498892923568
GP,0,0.058653564095042535,0.5624954492500364,0.3887498892923568
HLSJP,3,0.058653564095042535,0.5624954492500364,0.3887498892923568
HLSM,1,0.058653564095042535,0.5624954492500364,0.3887498892923568
JIM,1,0.058653564095042535,0.5624954492500364,0.3887498892923568
LGG,0,0.058653564095042535,0.5624954492500364,0.3887498892923568
LLITA,1,0.058653564095042535,0.5624954492500364,0.3887498892923568
LLMAS,1,0.058653564095042535,0.5624954492500364,0.3887498892923568
LNG,5,0.058653564095042535,0.5624954492500364,0.3887498892923568
MAC01,0,0.058653564095042535,0.5624954492500364,0.3887498892923568
MAL01,0,0.058653564095042535,0.5624954492500364,0.3887498892923568
MAL02,1,0.058653564095042535,0.5624954492500364,0.3887498892923568
MASC,1,0.058653564095042535,0.5624954492500364,0.3887498892923568
MP,5,0.058653564095042535,0.5624954492500364,0.3887498892923568
NAR,1,0.058653564095042535,0.5624954492500364,0.3887498892923568
NLS,3,0.058653564095042535,0.5624954492500364,0.3887498892923568
ORE02,0,0.058653564095042535,0.5624954492500364,0.3887498892923568
OROSA,5,0.058653564095042535,0.5624954492500364,0.3887498892923568
PALESM,3,0.058653564095042535,0.5624954492500364,0.3887498892923568
PATATE,1,0.058653564095042535,0.5624954492500364,0.3887498892923568
PAVRVT,5,0.058653564095042535,0.5624954492500364,0.3887498892923568
POSTE,1,0.058653564095042535,0.5624954492500364,0.3887498892923568
QLR,4,0.058653564095042535,0.5624954492500364,0.3887498892923568
SAP,2,0.058653564095042535,0.5624954492500364,0.3887498892923568
SEXTA,3,0.058653564095042535,0.5624954492500364,0.3887498892923568
SJMS,4,0.058653564095042535,0.5624954492500364,0.3887498892923568
SUC,4,0.058653564095042535,0.5624954492500364,0.3887498892923568
TC,4,0.058653564095042535,0.5624954492500364,0.3887498892923568
TENA,3,0.058653564095042535,0.5624954492500364,0.3887498892923568
TOQCOT,1,0.058653564095042535,0.5624954492500364,0.3887498892923568
TOSA,1,0.058653564095042535,0.5624954492500364,0.3887498892923568
Tosm,1,0.058653564095042535,0.5624954492500364,0.3887498892923568
ZAP,2,0.058653564095042535,0.5624954492500364,0.3887498892923568
