WL,TYPE,est_C/G,est_G/N,est_P/G
AGUACLARA,0,0.058653564095042535,0.5624954492500364,0.3887498892923568
AGUAL02,4,0.058653564095042535,0.5624954492500364,0.3887498892923568
ARCHT,4,0.058653564095042535,0.5624954492500364,0.3887498892923568
ASUS,1,0.058653564095042535,0.5624954492500364,0.3887498892923568
BALREP,4,0.058653564095042535,0.5624954492500364,0.3887498892923568
BASE,2,0.058653564095042535,0.5624954492500364,0.3887498892923568
BB,4,0.058653564095042535,0.5624954492500364,0.3887498892923568
CAT01,2,0.058653564095042535,0.5624954492500364,0.3887498892923568
CAT02,4,0.058653564095042535,0.5624954492500364,0.3887498892923568
CHANK,4,0.058653564095042535,0.5624954492500364,0.3887498892923568
CHE,0,0.058653564095042535,0.5624954492500364,0.3887498892923568
CHP,4,0.058653564095042535,0.5624954492500364,0.3887498892923568
CI,2,0.058653564095042535,0.5624954492500364,0.3887498892923568
CTRON01,2,0.058653564095042535,0.5624954492500364,0.3887498892923568
CTRON02,4,0.058653564095042535,0.5624954492500364,0.3887498892923568
GP,1,0.058653564095042535,0.5624954492500364,0.3887498892923568
HLSJP,0,0.058653564095042535,0.5624954492500364,0.3887498892923568
HLSM,5,0.058653564095042535,0.5624954492500364,0.3887498892923568
JIM,4,0.058653564095042535,0.5624954492500364,0.3887498892923568
LGG,1,0.058653564095042535,0.5624954492500364,0.3887498892923568
LLITA,4,0.058653564095042535,0.5624954492500364,0.3887498892923568
LLMAS,4,0.058653564095042535,0.5624954492500364,0.3887498892923568
LNG,1,0.058653564095042535,0.5624954492500364,0.3887498892923568
MAC01,1,0.058653564095042535,0.5624954492500364,0.3887498892923568
MAL01,1,0.058653564095042535,0.5624954492500364,0.3887498892923568
MAL02,4,0.058653564095042535,0.5624954492500364,0.3887498892923568
MASC,4,0.058653564095042535,0.5624954492500364,0.3887498892923568
MP,2,0.058653564095042535,0.5624954492500364,0.3887498892923568
NAR,4,0.058653564095042535,0.5624954492500364,0.3887498892923568
NLS,0,0.058653564095042535,0.5624954492500364,0.3887498892923568
ORE02,1,0.058653564095042535,0.5624954492500364,0.3887498892923568
OROSA,2,0.058653564095042535,0.5624954492500364,0.3887498892923568
PALESM,0,0.058653564095042535,0.5624954492500364,0.3887498892923568
PATATE,4,0.058653564095042535,0.5624954492500364,0.3887498892923568
PAVRVT,2,0.058653564095042535,0.5624954492500364,0.3887498892923568
POSTE,4,0.058653564095042535,0.5624954492500364,0.3887498892923568
QLR,2,0.058653564095042535,0.5624954492500364,0.3887498892923568
SAP,3,0.058653564095042535,0.5624954492500364,0.3887498892923568
SEXTA,0,0.058653564095042535,0.5624954492500364,0.3887498892923568
SJMS,2,0.058653564095042535,0.5624954492500364,0.3887498892923568
SUC,4,0.058653564095042535,0.5624954492500364,0.3887498892923568
TC,5,0.058653564095042535,0.5624954492500364,0.3887498892923568
TENA,0,0.058653564095042535,0.5624954492500364,0.3887498892923568
TOQCOT,4,0.058653564095042535,0.5624954492500364,0.3887498892923568
TOSA,4,0.058653564095042535,0.5624954492500364,0.3887498892923568
Tosm,4,0.058653564095042535,0.5624954492500364,0.3887498892923568
ZAP,3,0.058653564095042535,0.5624954492500364,0.3887498892923568
