WL,TYPE,STATE,C/G,G/N,P/G
AGUACLARA,3,original,0.0,1.068,0.0398
AGUAL02,1,original,0.0,0.8207,0.6335
ARCHT,1,original,0.0001,1.1932,0.4353
ASUS,0,estimacion,0.20384422148577358,0.6787415156900822,0.6234043142771148
BALREP,1,original,0.0,1.0621,0.0297
BASE,4,estimacion,-0.2637908443556188,0.5209105507253744,0.24914636151512282
BB,1,estimacion,0.05689586618551769,0.9099165939417536,0.414655084836284
CAT01,4,original,0.0,0.7846,0.193
CAT02,1,original,0.0,0.8006,0.4708
CHANK,1,estimacion,-0.4055046361238148,0.8443917455220853,0.2587631761155036
CHE,3,estimacion,0.14672254278255542,0.5068570208300562,0.20387284490697688
CHP,1,estimacion,-0.09847604347465931,0.43465317812736926,0.6069639431495215
CI,4,estimacion,0.21234836804973445,0.8941004938856302,0.14185341907815063
CTRON01,4,original,0.0,0.8397,0.5696
CTRON02,1,original,0.0,0.8368,0.4346
GP,0,estimacion,0.21702299570761724,0.6631036202810512,0.10296328799959187
HLSJP,3,estimacion,-0.15181634433469227,0.3903264504962445,0.5342322890332478
HLSM,1,estimacion,-0.6483607687585518,1.0801985620610244,-0.4593840962027541
JIM,1,original,0.0,0.9308,0.8197
LGG,0,estimacion,0.4440872207392154,0.9438410437153584,0.021624514274281248
LLITA,1,original,0.0,1.2539,0.2611
LLMAS,1,estimacion,-0.034598391421615735,0.2712174826547076,0.8952726573058403
LNG,5,original,0.0,0.8123,0.0
MAC01,0,original,0.0,0.8881,0.5302
MAL01,0,original,0.0,0.8888,0.5141
MAL02,1,original,0.0,0.8155,0.4336
MASC,1,original,0.0619,1.175,0.1444
MP,5,estimacion,0.06232224031014762,0.6095226057374885,0.5229045511089789
NAR,1,original,0.0,0.7744,0.9678
NLS,3,estimacion,-0.3317589701576572,0.9776455412649486,-0.7834955644246961
ORE02,0,original,0.0,0.8092,0.5221
OROSA,5,original,0.0,0.8788,0.3957
PALESM,3,original,0.0944,1.0417,0.1222
PATATE,1,original,0.0,0.8293,0.4071
PAVRVT,5,original,0.0,0.7513,0.4867
POSTE,1,original,0.0,1.2589,0.27
QLR,4,original,0.0,0.8558,0.5345
SAP,2,estimacion,-3.594347042223944e-15,-2.220446049250313e-15,0.5846249225046498
SEXTA,3,original,0.0,0.8748,0.0446
SJMS,4,estimacion,-0.047496057145823764,0.5356470321216356,0.05690824264630856
SUC,4,estimacion,-0.11501598547281915,0.6451405168194267,0.5708640975816406
TC,4,estimacion,-0.5675365970791104,0.7582061861087972,-0.36412307220929707
TENA,3,original,0.2435,1.0033,0.0
TOQCOT,1,original,0.0,0.7644,0.4199
TOSA,1,original,0.0,1.1492,0.2887
Tosm,1,estimacion,-0.20452155294852237,0.3983718773388035,0.684780715887995
ZAP,2,original,0.0,0.4741,0.5658
