WL,TYPE,est_C/G,est_G/N,est_P/G
AGUACLARA,3,1.249000902703301e-16,0.7567533129459738,0.041124199214713775
AGUAL02,1,5.134781488891349e-16,0.4416411824668709,0.6545773920231461
ARCHT,1,0.00041067761807024594,0.9162844036697244,0.44978301301921997
ASUS,0,0.20384422148577358,0.6787415156900822,0.6234043142771148
BALREP,1,-5.412337245047638e-16,0.7492354740061167,0.030688158710477698
BASE,4,-0.2637908443556188,0.5209105507253744,0.24914636151512282
BB,1,0.05689586618551769,0.9099165939417536,0.414655084836284
CAT01,4,9.575673587391975e-16,0.39564220183486243,0.19942136805125021
CAT02,1,2.914335439641036e-16,0.4160295616717624,0.4864641454846048
CHANK,1,-0.4055046361238148,0.8443917455220853,0.2587631761155036
CHE,3,0.14672254278255542,0.5068570208300562,0.20387284490697688
CHP,1,-0.09847604347465931,0.43465317812736926,0.6069639431495215
CI,4,0.21234836804973445,0.8941004938856302,0.14185341907815063
CTRON01,4,1.6792123247455493e-15,0.46585117227319006,0.5885513535854505
CTRON02,1,5.134781488891349e-16,0.46215596330275166,0.44905972308328224
GP,0,0.21702299570761724,0.6631036202810512,0.10296328799959187
HLSJP,3,-0.15181634433469227,0.3903264504962445,0.5342322890332478
HLSM,1,-0.6483607687585518,1.0801985620610244,-0.4593840962027541
JIM,1,6.522560269672795e-16,0.581931702344547,0.846972514982435
LGG,0,0.4440872207392154,0.9438410437153584,0.021624514274281248
LLITA,1,-3.191891195797325e-16,0.9936289500509679,0.26978714610456755
LLMAS,1,-0.034598391421615735,0.2712174826547076,0.8952726573058403
LNG,5,8.465450562766819e-16,0.4309378185524986,-1.6653345369377348e-15
MAC01,0,-2.636779683484747e-16,0.5275229357798148,0.5478404629055635
MAL01,0,1.5126788710517758e-15,0.5284148827726809,0.5312047943790028
MAL02,1,-2.0816681711721685e-16,0.43501529051987653,0.4480264517462289
MASC,1,0.25420944558521663,0.8930937818552498,0.14920438107046952
MP,5,0.06232224031014762,0.6095226057374885,0.5229045511089789
NAR,1,2.3592239273284576e-16,0.3826452599388376,1.0000000000000013
NLS,3,-0.3317589701576572,0.9776455412649486,-0.7834955644246961
ORE02,0,-4.163336342344337e-17,0.42698776758409807,0.5394709650754272
OROSA,5,5.134781488891349e-16,0.5156727828746177,0.4088654680719159
PALESM,3,0.38767967145790644,0.7232415902140681,0.1262657573878896
PATATE,1,-3.469446951953614e-16,0.4525993883792043,0.42064476131432205
PAVRVT,5,7.355227538141662e-16,0.35321100917431236,0.5028931597437478
POSTE,1,4.163336342344337e-17,0.9999999999999997,0.27898326100434057
QLR,4,-5.967448757360216e-16,0.48636595310907205,0.5522835296548871
SAP,2,-3.594347042223944e-15,-2.220446049250313e-15,0.5846249225046498
SEXTA,3,1.2351231148954867e-15,0.5105759429153938,0.04608390163256759
SJMS,4,-0.047496057145823764,0.5356470321216356,0.05690824264630856
SUC,4,-0.11501598547281915,0.6451405168194267,0.5708640975816406
TC,4,-0.5675365970791104,0.7582061861087972,-0.36412307220929707
TENA,3,1.000000000000002,0.6743119266055054,-4.440892098500626e-16
TOQCOT,1,-3.191891195797325e-16,0.3699031600407736,0.43387063442860163
TOSA,1,2.3592239273284576e-16,0.8602191641182466,0.2983054350072336
Tosm,1,-0.20452155294852237,0.3983718773388035,0.684780715887995
ZAP,2,-3.594347042223944e-15,-2.220446049250313e-15,0.5846249225046498
