WL	TYPE	STATE	C/G	G/N	P/G
AGUACLARA	0	original	0.0	1.068	0.0398
AGUAL02	4	original	0.0	0.8207	0.6335
ARCHT	4	original	0.0001	11.932	0.4353
ASUS	1	estimacion	0.20384422148577414	0.6787415156900793	0.6234043142771206
BALREP	4	original	0.0	10.621	0.0297
BASE	2	estimacion	-0.2637908443556183	0.5209105507253752	0.2491463615151217
BB	4	estimacion	0.0568958661855178	0.9099165939417538	0.4146550848362811
CAT01	2	original	0.0	0.7846	0.193
CAT02	4	original	0.0	0.8006	0.4708
CHANK	4	estimacion	-0.4055046361238143	0.8443917455220871	0.2587631761154998
CHE	0	estimacion	0.1467225427825536	0.5068570208300563	0.20387284490697777
CHP	4	estimacion	-0.0984760434746605	0.43465317812737003	0.606963943149522
CI	2	estimacion	0.21234836804973478	0.8941004938856294	0.14185341907814908
CTRON01	2	original	0.0	0.8397	0.5696
CTRON02	4	original	0.0	0.8368	0.4346
GP	1	estimacion	0.21702299570761757	0.6631036202810497	0.10296328799959409
HLSJP	0	estimacion	-0.15181634433469282	0.39032645049624515	0.5342322890332485
HLSM	5	estimacion	-0.6483607687585512	10.801.985.620.610.200	-0.4593840962027549
JIM	4	original	0.0	0.9308	0.8197
LGG	1	estimacion	0.44408722073921586	0.9438410437153573	0.021624514274280693
LLITA	4	original	0.0	12.539	0.2611
LLMAS	4	estimacion	-0.034598391421617594	0.27121748265470647	0.8952726573058416
LNG	1	original	0.0	0.8123	0.0
MAC01	1	original	0.0	0.8881	0.5302
MAL01	1	original	0.0	0.8888	0.5141
MAL02	4	original	0.0	0.8155	0.4336
MASC	4	original	0.0619	1.175	0.1444
MP	2	estimacion	0.06232224031014759	0.6095226057374877	0.5229045511089812
NAR	4	original	0.0	0.7744	0.9678
NLS	0	estimacion	-0.3317589701576542	0.9776455412649507	-0.7834955644246944
ORE02	1	original	0.0	0.8092	0.5221
OROSA	2	original	0.0	0.8788	0.3957
PALESM	0	original	0.0944	10.417	0.1222
PATATE	4	original	0.0	0.8293	0.4071
PAVRVT	2	original	0.0	0.7513	0.4867
POSTE	4	original	0.0	12.589	0.27
QLR	2	original	0.0	0.8558	0.5345
SAP	3	estimacion	1,04E+01	-3,11E+01	0.5846249225046494
SEXTA	0	original	0.0	0.8748	0.0446
SJMS	2	estimacion	-0.047496057145822904	0.5356470321216358	0.05690824264630834
SUC	4	estimacion	-0.11501598547282156	0.6451405168194262	0.5708640975816386
TC	5	estimacion	-0.567536597079111	0.7582061861087985	-0.3641230722092974
TENA	0	original	0.2435	10.033	0.0
TOQCOT	4	original	0.0	0.7644	0.4199
TOSA	4	original	0.0	11.492	0.2887
Tosm	4	estimacion	-0.20452155294852303	0.39837187733880475	0.6847807158879908
ZAP	3	original	0.0	0.4741	0.5658
